date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:56	673133/673133	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:56:47%20GMT	https://goodtoys.com.ua/ua/category/figurki-shchenyachiy-patrul/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/figurki-shchenyachiy-patrul/index.html	(from https://goodtoys.com.ua/ua/)
13:57:00	625437/625437	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:56:49%20GMT	https://goodtoys.com.ua/ua/category/figurki-brawl-stars/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/figurki-brawl-stars/index.html	(from https://goodtoys.com.ua/ua/)
13:57:03	609488/609488	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:56:55%20GMT	https://goodtoys.com.ua/ua/category/figurki-disney-doorables/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/figurki-disney-doorables/index.html	(from https://goodtoys.com.ua/ua/)
13:57:03	652319/652319	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:56:52%20GMT	https://goodtoys.com.ua/ua/category/lps-zverushki/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/lps-zverushki/index.html	(from https://goodtoys.com.ua/ua/)
13:57:03	592256/592256	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:56:56%20GMT	https://goodtoys.com.ua/ua/category/bakugan/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/bakugan/index.html	(from https://goodtoys.com.ua/ua/)
13:57:10	642083/642083	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:57:00%20GMT	https://goodtoys.com.ua/ua/category/figurki-stikbot/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/figurki-stikbot/index.html	(from https://goodtoys.com.ua/ua/)
13:57:12	599833/599833	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:57:03%20GMT	https://goodtoys.com.ua/ua/category/sharlotta-zemlyanichka/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/sharlotta-zemlyanichka/index.html	(from https://goodtoys.com.ua/ua/)
13:57:14	629295/629295	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:57:05%20GMT	https://goodtoys.com.ua/ua/category/figurki-minecraft/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/figurki-minecraft/index.html	(from https://goodtoys.com.ua/ua/)
13:57:17	617352/617352	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:57:08%20GMT	https://goodtoys.com.ua/ua/category/gormiti/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/gormiti/index.html	(from https://goodtoys.com.ua/ua/)
13:57:20	749038/749038	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:57:11%20GMT	https://goodtoys.com.ua/ua/category/figurki-jazwares-roblox/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/figurki-jazwares-roblox/index.html	(from https://goodtoys.com.ua/ua/)
